PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
in the south	3	1	243938 all
just in case	3	1	164751 all
just in time	3	1	167575 all
least of all	3	1	111910 all
nip and tuck	3	1	408632 all
now and then	3	1	21212 all
off the cuff	3	1	169195 all
on all fours	3	1	169546 all
on the whole	3	1	151755 all
out and away	3	1	47056 all
out of doors	3	1	110659 all
out of place	3	1	510244 all
to both ears	3	1	207945 all
to no degree	3	1	411570 all
to the limit	3	1	172548 all
to the south	3	1	243938 all
to a t	3	1	172020 all
as it is	3	1	27093 all
in a way	3	1	148540 all
to a man	3	1	171931 all
a la mode	3	1	498182 all
and so on	3	1	103664 all
as we say	3	1	152882 all
at a loss	3	1	262773 all
at a time	3	1	153261 all
by and by	3	1	155488 all
in so far	3	1	98959 all
on the qt	3	1	166608 all
a la carte	3	1	257981 all
all in all	3	1	151755 all
as a group	3	1	157304 all
as it were	3	1	152776 all
by the bye	3	1	156222 all
by the day	3	1	250798 all
by the way	3	1	156222 all
day by day	3	1	177818 all
for a song	3	1	158575 all
in a flash	3	1	33421 all
in no time	3	1	165906 all
in one ear	3	1	208111 all
in the air	3	1	167175 all
in the way	3	1	41570 all
off and on	3	1	169094 all
on and off	3	1	169094 all
on the dot	3	1	368663 all
on the fly	3	1	170614 all
on the sly	3	1	106170 all
on the way	3	1	171322 all
to a fault	3	1	47392 all
to and fro	3	1	76193 all
to be sure	3	1	150134 all
to one ear	3	1	208111 all
a good deal	3	1	59171 all
at any cost	3	1	153116 all
at the best	3	1	105775 all
at the most	3	1	104528 all
best of all	3	1	187953 all
by all odds	3	1	36935 all
by no means	3	1	57042 all
for a while	3	1	144405 all
in due time	3	1	165269 all
in one case	3	1	118869 all
in some way	3	1	26137 all
in the lead	3	1	67513 all
in two ways	3	1	83947 all
like a shot	3	1	48739 all
of a sudden	3	1	61677 all
of all time	3	1	146387 all
on one hand	3	1	119798 all
on the nose	3	1	368663 all
by chance	2	3	353485 all 40547 all 420004 all
all right	2	3	53004 all 53152 all 15471 all
so far	2	3	28198 all 98959 all 27918 all
all together	2	2	63774 all 461834 all
like hell	2	2	168870 all 168564 all
very well	2	2	53004 all 340523 all
inside out	2	2	166964 all 167068 all
above all	2	2	158190 all 150671 all
after all	2	2	151149 all 151305 all
each year	2	2	81737 all 250570 all
in unison	2	2	240265 all 240343 all
no more	2	2	31515 all 50681 all
all over	2	2	25728 all 198039 all
at least	2	2	104661 all 104345 all
at stake	2	2	158831 all 158936 all
flat out	2	2	86255 all 279523 all
in vacuo	2	2	38489 all 38537 all
et al	2	2	191178 all 191058 all
et al.	2	2	191178 all 191058 all
at home	2	2	98166 all 98267 all
at once	2	2	48739 all 153261 all
sure enough	2	2	144722 all 150243 all
in time	2	2	167816 all 47641 all
in perpetuity	2	2	88073 all 88186 all
right away	2	2	105467 all 48739 all
straight off	2	1	48739 all
this evening	2	1	79499 all
to advantage	2	1	171781 all
ante meridiem	2	1	251304 all
before christ	2	1	2142 all
between decks	2	1	498293 all
every quarter	2	1	436848 all
in apposition	2	1	121413 all
in conclusion	2	1	65822 all
in particular	2	1	248765 all
lickety split	2	1	168322 all
post meridiem	2	1	251408 all
to perfection	2	1	172020 all
together with	2	1	117082 all
tout ensemble	2	1	151755 all
without doubt	2	1	150134 all
beyond control	2	1	148422 all
beyond measure	2	1	46545 all
like clockwork	2	1	168428 all
par excellence	2	1	256912 all
thousand times	2	1	140271 all
ceteris paribus	2	1	255542 all
most especially	2	1	150671 all
put differently	2	1	179333 all
sincerely yours	2	1	160086 all
broadly speaking	2	1	221583 all
most importantly	2	1	150671 all
mutatis mutandis	2	1	256817 all
outside marriage	2	1	171673 all
properly speaking	2	1	227023 all
strictly speaking	2	1	227023 all
by experimentation	2	1	85339 all
nemine contradicente	2	1	106316 all
displaying incompetence	2	1	185400 all
long since	2	1	22401 all
nine times	2	1	410317 all
on average	2	1	169659 all
on purpose	2	1	62330 all
on request	2	1	159771 all
once again	2	1	40365 all
other than	2	1	113082 all
over again	2	1	40365 all
pari passu	2	1	257026 all
per capita	2	1	501291 all
sotto voce	2	1	257418 all
then again	2	1	119578 all
this night	2	1	79499 all
under arms	2	1	387455 all
under that	2	1	468326 all
vice versa	2	1	177686 all
after hours	2	1	151426 all
anno domini	2	1	1837 all
as required	2	1	181418 all
before long	2	1	33922 all
double time	2	1	321993 all
every night	2	1	410210 all
ex cathedra	2	1	84612 all
first class	2	1	340273 all
for certain	2	1	144722 all
for example	2	1	159040 all
in absentia	2	1	150824 all
in darkness	2	1	206144 all
in extremis	2	1	259242 all
in practice	2	1	166512 all
lickety cut	2	1	168322 all
never again	2	1	409597 all
on approval	2	1	169769 all
on occasion	2	1	21212 all
pretty much	2	1	22717 all
prima facie	2	1	260274 all
pro tempore	2	1	257182 all
right along	2	1	68215 all
right smart	2	1	101752 all
second hand	2	1	504492 all
soon enough	2	1	167816 all
three times	2	1	476680 all
ultra vires	2	1	482562 all
upside down	2	1	219641 all
very loudly	2	1	344073 all
very softly	2	1	343938 all
'tween decks	2	1	498293 all
a posteriori	2	1	251525 all
ad infinitum	2	1	87777 all
against time	2	1	151521 all
beyond doubt	2	1	373216 all
double quick	2	1	321993 all
for anything	2	1	159373 all
for instance	2	1	159040 all
from nowhere	2	1	171543 all
from scratch	2	1	159889 all
in principle	2	1	501140 all
like royalty	2	1	125985 all
like thunder	2	1	168564 all
of necessity	2	1	112393 all
second class	2	1	447770 all
lang syne	2	1	22401 all
let alone	2	1	63369 all
next door	2	1	240082 all
no longer	2	1	31515 all
no matter	2	1	118531 all
of course	2	1	38625 all
on camera	2	1	514475 all
once more	2	1	40365 all
only when	2	1	505114 all
out front	2	1	67513 all
over here	2	1	260998 all
per annum	2	1	250570 all
pro forma	2	1	260328 all
scot free	2	1	260835 all
six times	2	1	455508 all
that much	2	1	23074 all
two times	2	1	482373 all
under way	2	1	238958 all
until now	2	1	27918 all
very fast	2	1	165906 all
very much	2	1	59171 all
viva voce	2	1	258088 all
a cappella	2	1	1740 all
a fortiori	2	1	63483 all
ad interim	2	1	88549 all
ad libitum	2	1	88655 all
ad nauseam	2	1	251073 all
ad valorem	2	1	251166 all
any longer	2	1	31606 all
as follows	2	1	152684 all
at leisure	2	1	104990 all
at present	2	1	49220 all
by machine	2	1	54636 all
common era	2	1	1981 all
dead ahead	2	1	157114 all
en famille	2	1	252405 all
en passant	2	1	166375 all
every inch	2	1	157528 all
every week	2	1	81591 all
every year	2	1	81737 all
ex officio	2	1	252499 all
ex tempore	2	1	259467 all
four times	2	1	344500 all
hands down	2	1	147785 all
in advance	2	1	67045 all
in arrears	2	1	222479 all
in circles	2	1	164578 all
in concert	2	1	116705 all
in earnest	2	1	165018 all
in essence	2	1	501140 all
in general	2	1	41954 all
in passing	2	1	166375 all
in private	2	1	162137 all
in reality	2	1	149138 all
in writing	2	1	246672 all
inter alia	2	1	256344 all
ipso facto	2	1	256463 all
just about	2	1	7015 all
just right	2	1	172020 all
like crazy	2	1	168564 all
like kings	2	1	125985 all
long ago	2	1	22401 all
no doubt	2	1	150134 all
on board	2	1	249878 all
on earth	2	1	508255 all
on faith	2	1	169881 all
on paper	2	1	246672 all
one time	2	1	118869 all
only too	2	1	250258 all
out loud	2	1	69771 all
per diem	2	1	250798 all
per year	2	1	250570 all
pro rata	2	1	260532 all
quite an	2	1	18918 all
right on	2	1	150351 all
sine die	2	1	257338 all
sub rosa	2	1	257522 all
thus far	2	1	27918 all
to order	2	1	172261 all
too much	2	1	415963 all
too soon	2	1	100082 all
under it	2	1	468326 all
ab initio	2	1	103194 all
all along	2	1	68215 all
as needed	2	1	181418 all
at bottom	2	1	104099 all
at length	2	1	65575 all
at random	2	1	70765 all
by choice	2	1	62330 all
by design	2	1	62330 all
by inches	2	1	155995 all
by memory	2	1	155893 all
by nature	2	1	505352 all
by rights	2	1	505450 all
cum laude	2	1	291276 all
deep down	2	1	104099 all
each week	2	1	81591 all
every bit	2	1	22131 all
first off	2	1	102736 all
for keeps	2	1	159284 all
for short	2	1	159690 all
higher up	2	1	80169 all
in camera	2	1	162137 all
in chorus	2	1	240343 all
in common	2	1	503777 all
in detail	2	1	197275 all
in effect	2	1	60032 all
in flight	2	1	505010 all
in hiding	2	1	252249 all
in person	2	1	132158 all
in public	2	1	161932 all
in return	2	1	405868 all
in secret	2	1	166608 all
in spades	2	1	36935 all
in stages	2	1	422281 all
in stride	2	1	236546 all
in tandem	2	1	257634 all
in theory	2	1	501140 all
just then	2	1	105240 all
just so	2	1	168230 all
kind of	2	1	18302 all
much as	2	1	188600 all
nem con	2	1	106316 all
now now	2	1	49889 all
of late	2	1	107416 all
on base	2	1	249736 all
on that	2	1	468127 all
on time	2	1	171457 all
only if	2	1	505114 all
or else	2	1	63172 all
pro tem	2	1	257182 all
quite a	2	1	18918 all
sort of	2	1	18302 all
til now	2	1	27918 all
to boot	2	1	46167 all
to date	2	1	172151 all
to that	2	1	468219 all
up here	2	1	260998 all
you bet	2	1	152345 all
a little	2	1	33663 all
a priori	2	1	251611 all
a trifle	2	1	33663 all
all told	2	1	63630 all
and then	2	1	117620 all
as usual	2	1	107144 all
at heart	2	1	104099 all
at large	2	1	104233 all
at times	2	1	21212 all
at worst	2	1	105908 all
but then	2	1	119578 all
by heart	2	1	155893 all
close to	2	1	7015 all
close up	2	1	410043 all
con brio	2	1	19900 all
de facto	2	1	60197 all
early on	2	1	100681 all
en clair	2	1	252348 all
en masse	2	1	157304 all
en route	2	1	171322 all
et aliae	2	1	191178 all
et alibi	2	1	191058 all
for free	2	1	258175 all
for good	2	1	87916 all
for sure	2	1	144722 all
good and	2	1	32598 all
in brief	2	1	289860 all
in front	2	1	66781 all
in haste	2	1	206479 all
in place	2	1	256189 all
in short	2	1	289860 all
in truth	2	1	38013 all
in utero	2	1	38388 all
in vitro	2	1	513929 all
just now	2	1	33308 all
later on	2	1	61203 all
like mad	2	1	168564 all
like sin	2	1	168564 all
a bit	2	1	33663 all
a lot	2	1	59171 all
in on	2	1	116899 all
on it	2	1	468127 all
or so	2	1	7015 all
to it	2	1	468219 all
ad hoc	2	1	250987 all
ad lib	2	1	88655 all
ad val	2	1	251166 all
and so	2	1	117620 all
as yet	2	1	27918 all
at all	2	1	56729 all
by far	2	1	47056 all
end on	2	1	328992 all
id est	2	1	191579 all
if not	2	1	45379 all
in all	2	1	63630 all
no end	2	1	169008 all
on air	2	1	280886 all
out of	2	1	233573 all
per se	2	1	36762 all
to wit	2	1	188510 all
all too	2	1	250258 all
and how	2	1	152345 all
as such	2	1	36762 all
as well	2	1	47534 all
at best	2	1	105775 all
at last	2	1	47903 all
at most	2	1	104528 all
at will	2	1	153372 all
by hand	2	1	54524 all
by luck	2	1	353485 all
de jure	2	1	251820 all
de novo	2	1	113009 all
en bloc	2	1	157304 all
et alia	2	1	191178 all
et alii	2	1	191178 all
even as	2	1	17881 all
even so	2	1	27384 all
ever so	2	1	212604 all
ex vivo	2	1	513929 all
for one	2	1	159544 all
high up	2	1	356957 all
in case	2	1	164751 all
in fact	2	1	148869 all
in full	2	1	504620 all
in hand	2	1	148329 all
in kind	2	1	165561 all
in line	2	1	165676 all
in name	2	1	165788 all
in situ	2	1	256189 all
in that	2	1	240707 all
in this	2	1	240707 all
in toto	2	1	150432 all
in turn	2	1	180420 all
in vain	2	1	167920 all
in vivo	2	1	182094 all
just as	2	1	17881 all
well	1	13	11093 all 12129 all 13092 all 13793 all 14616 all 14285 all 13626 all 13429 all 15135 all 15007 all 14882 all 12779 all 12531 all
away	1	11	235570 all 232936 all 233295 all 234747 all 235070 all 235438 all 235254 all 234951 all 234553 all 234052 all 233687 all
badly	1	10	11516 all 13236 all 15953 all 16458 all 16678 all 16950 all 16240 all 12286 all 14014 all 14738 all
right	1	10	32299 all 205052 all 105162 all 205125 all 150351 all 387828 all 203922 all 196203 all 58033 all 205226 all
hard	1	10	91534 all 92156 all 176518 all 92450 all 92259 all 92047 all 91332 all 91678 all 91778 all 91964 all
so	1	10	146594 all 43003 all 121135 all 37641 all 118363 all 117620 all 147272 all 147126 all 146926 all 146763 all
around	1	10	7015 all 71456 all 71840 all 72201 all 72329 all 72043 all 71741 all 71050 all 71165 all 71601 all
under	1	8	486067 all 486694 all 486223 all 486384 all 486509 all 486605 all 486296 all 486157 all
heavily	1	7	176654 all 507477 all 508657 all 176518 all 355615 all 176383 all 502575 all
lightly	1	7	477636 all 176750 all 180279 all 180168 all 28923 all 509034 all 390941 all
short	1	7	297319 all 452624 all 452810 all 453009 all 452931 all 452708 all 61528 all
ahead	1	7	66781 all 67265 all 67045 all 75442 all 67513 all 68070 all 67823 all
only	1	7	28319 all 11011 all 8600 all 505114 all 10914 all 4722 all 10759 all
about	1	7	7015 all 358114 all 71165 all 73033 all 72329 all 72201 all 71840 all
now	1	7	49758 all 49102 all 48475 all 48739 all 49220 all 49685 all 49433 all
together	1	6	116510 all 116994 all 116705 all 507927 all 116791 all 116588 all
apart	1	6	180756 all 234389 all 180944 all 181253 all 181075 all 234201 all
aside	1	6	233687 all 234201 all 234052 all 233892 all 180756 all 234951 all
just	1	6	33308 all 158309 all 246296 all 2621 all 4722 all 2950 all
back	1	6	74407 all 74964 all 75161 all 75367 all 74201 all 75269 all
down	1	6	95320 all 95612 all 95841 all 95946 all 96232 all 96089 all
yet	1	6	27384 all 17639 all 47641 all 27918 all 27795 all 28198 all
personally	1	5	132060 all 132322 all 366393 all 366266 all 132158 all
squarely	1	5	51017 all 51268 all 51440 all 51590 all 52026 all
thickly	1	5	476962 all 299753 all 478040 all 477359 all 477194 all
through	1	5	478634 all 478730 all 478821 all 57626 all 478904 all
forward	1	5	103859 all 67265 all 275694 all 75442 all 74641 all
shortly	1	5	33922 all 34308 all 34189 all 297319 all 289860 all
over	1	5	226458 all 226550 all 226677 all 226758 all 198039 all
below	1	5	80039 all 258282 all 79866 all 94396 all 486067 all
always	1	5	19339 all 19609 all 19757 all 20280 all 20476 all
behind	1	5	222180 all 222479 all 222713 all 222879 all 221985 all
up	1	5	96333 all 96760 all 96636 all 96921 all 97011 all
far	1	5	101051 all 101323 all 101655 all 101490 all 101201 all
much	1	5	22829 all 32803 all 59086 all 59413 all 59171 all
along	1	5	68577 all 68753 all 68986 all 68368 all 69164 all
circumstantially	1	4	499208 all 40547 all 402555 all 499340 all
wide	1	4	495524 all 495858 all 495743 all 496010 all
naturally	1	4	505352 all 140403 all 38625 all 488773 all
securely	1	4	224700 all 376883 all 377097 all 377522 all
sideways	1	4	453580 all 454031 all 454210 all 454344 all
endlessly	1	4	224941 all 283235 all 380325 all 282858 all
actually	1	4	149138 all 150003 all 149744 all 149510 all
directly	1	4	504281 all 48739 all 58128 all 51848 all
clearly	1	4	202341 all 285687 all 181901 all 39058 all
however	1	4	27384 all 28797 all 28578 all 28424 all
loosely	1	4	511481 all 221583 all 179442 all 153473 all
quietly	1	4	229399 all 70166 all 438146 all 229568 all
sharply	1	4	429534 all 211651 all 49947 all 503102 all
inside	1	4	110533 all 104099 all 230189 all 110815 all
meanly	1	4	407053 all 397466 all 397720 all 397610 all
rather	1	4	18302 all 98714 all 18781 all 115554 all
really	1	4	31899 all 149510 all 38013 all 37226 all
simply	1	4	4722 all 246296 all 5055 all 4967 all
softly	1	4	70166 all 343660 all 180279 all 503945 all
thinly	1	4	477060 all 477636 all 477814 all 477939 all
acutely	1	4	502325 all 503102 all 272587 all 140759 all
aloft	1	4	498499 all 499084 all 499004 all 498610 all
first	1	4	103554 all 254614 all 102736 all 506928 all
quite	1	4	18577 all 18781 all 19181 all 18918 all
still	1	4	27384 all 31304 all 17639 all 467269 all
truly	1	4	378365 all 37226 all 223000 all 38013 all
aboard	1	4	249736 all 250056 all 249878 all 249964 all
big	1	4	225672 all 225805 all 225892 all 226054 all
even	1	4	17445 all 18043 all 18189 all 17639 all
here	1	4	108773 all 109021 all 108647 all 108479 all
high	1	4	356957 all 357052 all 357251 all 357139 all
late	1	4	107416 all 100267 all 305935 all 305821 all
irregularly	1	4	195185 all 331697 all 331940 all 190581 all
endwise	1	3	328992 all 329230 all 329114 all
exactly	1	3	368663 all 158309 all 368287 all
finally	1	3	65822 all 47903 all 48138 all
forever	1	3	89076 all 87542 all 20280 all
further	1	3	29639 all 29985 all 30443 all
quickly	1	3	290935 all 85811 all 105603 all
roughly	1	3	7015 all 353916 all 354033 all
sideway	1	3	454031 all 454210 all 454344 all
smartly	1	3	181748 all 6858 all 187455 all
beyond	1	3	45607 all 45704 all 45897 all
dearly	1	3	77912 all 77747 all 77619 all
double	1	3	321824 all 321906 all 83393 all
easily	1	3	12531 all 54435 all 147876 all
fairly	1	3	106759 all 285092 all 35718 all
finely	1	3	102463 all 102637 all 190837 all
firmly	1	3	224700 all 50817 all 91964 all
gently	1	3	502847 all 180279 all 181576 all
highly	1	3	89267 all 89643 all 89408 all
loudly	1	3	343799 all 69901 all 412708 all
richly	1	3	187617 all 357251 all 397016 all
snugly	1	3	193316 all 193511 all 193407 all
square	1	3	51268 all 52026 all 51440 all
thence	1	3	43608 all 43794 all 43003 all
widely	1	3	506342 all 495663 all 495524 all
wildly	1	3	174735 all 175135 all 174987 all
alright	1	3	53004 all 53152 all 15471 all
amiss	1	3	10047 all 10276 all 271998 all
dimly	1	3	417139 all 211964 all 211815 all
early	1	3	100082 all 100681 all 100592 all
forth	1	3	103761 all 232936 all 103859 all
fully	1	3	10466 all 178909 all 504620 all
hence	1	3	43003 all 43436 all 43521 all
large	1	3	225672 all 386307 all 386393 all
later	1	3	61203 all 508157 all 155488 all
madly	1	3	80890 all 46639 all 503370 all
often	1	3	35058 all 59413 all 59547 all
plumb	1	3	427057 all 9541 all 9373 all
sadly	1	3	93270 all 42614 all 404501 all
there	1	3	109151 all 109461 all 109328 all
abroad	1	3	104003 all 263180 all 181676 all
afield	1	3	262847 all 262971 all 263180 all
astern	1	3	275201 all 275409 all 275872 all
no	1	3	24356 all 50681 all 24587 all
on	1	3	69346 all 69472 all 68368 all
ill	1	3	11516 all 11916 all 13236 all
off	1	3	193194 all 232936 all 235254 all
out	1	3	233413 all 233295 all 232862 all
best	1	3	188057 all 188137 all 509846 all
deep	1	3	305570 all 305683 all 305821 all
easy	1	3	147876 all 161630 all 148139 all
ever	1	3	146387 all 19339 all 212604 all
home	1	3	97840 all 98520 all 98380 all
most	1	3	111609 all 112009 all 73033 all
once	1	3	181342 all 118869 all 118965 all
then	1	3	117620 all 117903 all 118032 all
significantly	1	3	367868 all 509970 all 6259 all
longitudinally	1	3	388209 all 388379 all 129675 all
providentially	1	3	434063 all 434213 all 369288 all
proportionately	1	3	318641 all 260532 all 318303 all
contrariwise	1	3	247969 all 177686 all 170412 all
dishonorably	1	3	491024 all 313633 all 315333 all
dramatically	1	3	246802 all 188353 all 138945 all
economically	1	3	123229 all 123500 all 123365 all
particularly	1	3	84223 all 248488 all 248765 all
reciprocally	1	3	405645 all 175919 all 405868 all
extravagantly	1	3	335345 all 214554 all 187617 all
comfortably	1	3	13626 all 155020 all 154885 all
